"list"	"premset"	"ss"	"item"	"rules"	"ruletype"
"242"	1	"posAnegC"	11	4	"cat"	3
"243"	1	"posAnegC"	12	4	"cat"	3
"244"	1	"posAnegC"	13	4	"sub"	2
"245"	1	"posAnegC"	14	4	"cat"	3
"246"	1	"posAnegC"	15	4	"base"	1
"247"	1	"posAnegC"	16	4	"cat"	3
"248"	1	"posAnegC"	17	4	"cat"	3
"249"	1	"posAnegC"	18	4	"cat"	3
"250"	1	"posAnegC"	19	4	"cat"	3
"251"	1	"posAnegC"	20	4	"cat"	3
"252"	1	"posAnegC"	21	4	"cat"	3
"253"	1	"posAnegC"	22	4	"cat"	3
"254"	1	"posAnegC"	23	4	"base"	1
"255"	1	"posAnegC"	24	4	"cat"	3
"256"	1	"posAnegC"	25	4	"cat"	3
"257"	1	"posAnegC"	26	4	"cat"	3
"258"	1	"posAnegC"	27	4	"cat"	3
"259"	1	"posAnegC"	28	4	"rest"	5
"260"	1	"posAnegC"	29	4	"cat"	3
"261"	1	"posAnegC"	30	4	"rest"	5
"262"	1	"posAnegC"	31	4	"cat"	3
"263"	1	"posAnegC"	32	4	"base"	1
"264"	1	"posAnegC"	33	4	"cat"	3
"265"	1	"posAnegC"	34	4	"sub"	2
"266"	1	"posAnegC"	35	4	"rest"	5
"267"	1	"posAnegC"	36	4	"cat"	3
"268"	1	"posAnegC"	37	4	"cat"	3
"269"	1	"posAnegC"	38	4	"sub"	2
"270"	2	"posA"	39	4	"rest"	5
"271"	2	"posA"	40	4	"base"	1
"272"	2	"posA"	41	4	"cat"	3
"273"	2	"posA"	42	4	"base"	1
"274"	2	"posA"	43	4	"cat"	3
"275"	2	"posA"	44	4	"cat"	3
"276"	2	"posA"	45	4	"cat"	3
"277"	2	"posA"	46	4	"sub"	2
"278"	2	"posA"	47	4	"rest"	5
"279"	2	"posA"	48	4	"rest"	5
"280"	2	"posA"	49	4	"base"	1
"281"	2	"posA"	50	4	"base"	1
"282"	2	"posA"	51	4	"sub"	2
"283"	2	"posA"	52	4	"cat"	3
"284"	2	"posA"	53	4	"base"	1
"285"	2	"posA"	54	4	"cat"	3
"286"	2	"posA"	55	4	"rest"	5
"287"	2	"posA"	56	4	"base"	1
"288"	2	"posA"	57	4	"base"	1
"289"	2	"posA"	58	4	"base"	1
"290"	2	"posA"	59	4	"sub"	2
"291"	2	"posA"	60	4	"rest"	5
"292"	2	"posA"	61	4	"base"	1
"293"	2	"posA"	62	4	"base"	1
"294"	2	"posA"	63	4	"rest"	5
"295"	2	"posA"	64	4	"cat"	3
"296"	2	"posA"	65	4	"cat"	3
"297"	2	"posA"	66	4	"cat"	3
"298"	2	"posA"	67	4	"sub"	2
"299"	2	"posA"	68	4	"sub"	2
"300"	2	"posA"	69	4	"rest"	5
"301"	2	"posA"	70	4	"cat"	3
"302"	2	"posA"	71	4	"cat"	3
"303"	2	"posA"	72	4	"base"	1
"304"	2	"posA"	73	4	"cat"	3
"305"	2	"posA"	74	4	"base"	1
"306"	2	"posA"	75	4	"base"	1
"307"	2	"posA"	76	4	"rest"	5
"308"	2	"posA"	77	4	"cat"	3
